timestamp,Asset_ID,Count,Open,High,Low,Close,Volume,VWAP,Target
1630982460,1,3062.0,52758.474285714285,52812.79,52735.0,52769.38571428572,128.44247982269093,52771.86606645385,-0.0001600782192412
1630982520,1,2066.0,52770.6,52807.93,52738.7,52762.33285714287,51.25539805940903,52772.44342230143,9.085016137480974e-05
1630982580,1,2021.0,52758.13494683857,52774.28,52719.4,52750.76,59.84638064313817,52749.968624744775,-9.902239282288743e-05
1630982640,1,1383.0,52751.42142857143,52776.27,52720.36,52745.94285714287,41.45099469779265,52748.73096667655,0.0003170876805132
1630982700,1,1619.0,52745.51714285714,52788.24,52727.1,52768.66000000001,38.373608901642925,52760.06955530172,0.0003725543337499
1630982760,1,1354.0,52764.704285714295,52792.1,52734.1,52761.81714285714,50.48001547492272,52761.32969270904,0.0005309900506952
1630982820,1,1201.0,52761.22098421667,52791.25,52726.5,52745.00333333333,42.97485989805757,52755.617617291085,0.0004290252318909
1630982880,1,1479.0,52744.35000000001,52788.16,52726.0,52763.02833333333,44.38222572671407,52750.86324391038,0.0008152984199159
1630982940,1,1084.0,52764.28285714286,52788.19,52735.4,52763.3765579,36.8316384750769,52763.27694822701,0.000831075460786
1630983000,1,1083.0,52760.38765088334,52788.09,52745.6,52761.85000000001,31.835902156722483,52761.73965547125,0.0003687602425425
1630983060,1,2076.0,52766.18142857144,52823.4,52748.6,52784.26857142856,104.599692388976,52774.43094466416,0.0006694596161746
1630983120,1,1327.0,52784.76285714287,52815.89,52763.78,52790.33439409571,34.242573759009126,52788.360816300905,0.0017481087650308
1630983180,1,10507.0,52792.00625,52883.14,52650.06,52705.705,452.0519716782957,52789.31421878751,0.0018567482750801
1630983240,1,3399.0,52687.6475,52739.3,52617.13,52682.85125,112.95483411247112,52676.04855260502,0.001938505796802
1630983300,1,1479.0,52679.53000000001,52708.89,52642.33,52685.84285714285,56.892713928216274,52674.05924536053,0.001942465167658
1630983360,1,1717.0,52687.27285714285,52754.52,52653.99,52673.654285714285,60.77930373475808,52696.35861336588,0.0016634952596874
1630983420,1,1563.0,52678.54841030428,52717.47,52639.91,52696.508571428574,72.53896506311544,52680.720284022434,0.001475938814343
1630983480,1,1852.0,52700.607142857145,52744.08,52664.92,52705.64,93.05003883584077,52700.551258308136,0.0016775860844192
1630983540,1,1582.0,52704.23333333333,52751.49,52686.05,52704.99414248499,71.9583815234439,52709.34213645983,0.0016278013788557
1630983600,1,2402.0,52711.11625,52782.7,52690.73,52757.96118157249,86.58506035335114,52746.771716693045,0.0015966307930895
1630983660,1,1642.0,52759.726283988566,52793.71,52720.96,52751.84,56.36285079441582,52761.42342001285,0.00218755735138
1630983720,1,1382.0,52750.79803874,52785.56,52722.95,52759.83857142856,39.38269751835976,52757.74320721387,0.0026489017874834
1630983780,1,1408.0,52757.20953371714,52785.33,52725.99,52756.454979807146,69.30589490899034,52759.41226298852,0.0023536175351123
1630983840,1,1777.0,52760.17060733125,52814.15,52735.73,52783.34250000001,65.79285559836315,52778.19956382288,0.0023378691577906
1630983900,1,1245.0,52783.25142857144,52811.52,52765.64,52785.56285714286,36.09964564899997,52784.97931049212,0.0027226594306291
1630983960,1,1603.0,52787.13,52817.18,52734.45,52759.60622024143,60.29967763781868,52773.30258623228,0.0018132660975665
1630984020,1,1670.0,52766.47276066714,52821.97,52737.42,52791.68602117144,96.8174712671174,52783.64662586304,0.0011620422449859
1630984080,1,1903.0,52792.2641739675,52864.67,52774.06,52829.5175,76.56393306125204,52805.17261111591,0.0005959174655976
1630984140,1,3957.0,52830.34375,52888.0,52811.0,52846.37956091375,130.10456624711318,52844.51136212197,0.0009599113348366
1630984200,1,4630.0,52846.8725,52904.99,52815.08,52845.8075,123.28045983139832,52864.57679593647,0.0013772029188703
1630984260,1,2001.0,52843.58285714287,52871.18,52781.9,52821.90571428572,48.17157336312567,52818.18340814571,0.0012096470239835
1630984320,1,1388.0,52826.07714285714,52853.07,52785.0,52807.94714285714,33.009316590600875,52812.2289318682,0.0011061683366628
1630984380,1,1231.0,52808.95428571429,52836.91,52785.49,52812.69,27.71480083663686,52811.03683133381,0.0011468542214192
1630984440,1,2471.0,52812.545,52842.9,52755.99,52798.952136375,71.83023352522653,52806.02130149363,0.0008419729317078
1630984500,1,1398.0,52800.34958442856,52844.06,52775.33,52819.91,32.29511341944993,52809.079071664855,0.000850344084837
1630984560,1,1311.0,52827.12,52867.66,52809.99,52836.86951139625,27.220142045798053,52836.97092470901,4.781422693775784e-05
1630984620,1,1808.0,52847.70125000001,52906.59,52829.9,52881.11875,42.080830377095296,52869.54565702016,-0.0002254149976671
1630984680,1,1852.0,52882.775,52919.0,52856.04,52882.09487391875,60.096551430982025,52885.107272010646,-0.0002663984675281
1630984740,1,5315.0,52884.415,52956.47,52850.39,52880.91365516374,220.51806889046173,52898.31996338712,-0.0002820858784714
1630984800,1,1606.0,52877.00375,52909.36,52850.4,52868.84250000001,51.0445645126817,52877.96093815727,-0.0005541175408395
1630984860,1,1728.0,52865.4175,52902.73,52823.68,52879.12153665,77.93263822838094,52864.821089020304,6.192147526848726e-05
1630984920,1,2389.0,52877.19,52910.33,52797.2,52841.5225,106.79555203392572,52864.36235199462,0.0004470728313206
1630984980,1,2806.0,52830.17626319571,52868.6,52703.37227913,52814.322952185714,198.88702293194004,52816.64300416814,0.0007797287365057
1630985040,1,8662.0,52814.08,52838.4,52740.0,52773.52125000001,86.55777003785549,52790.6808193192,0.0003344124499785
1630985100,1,1392.0,52766.28999999999,52824.98,52736.29,52790.11875,40.67079842263564,52774.12847864122,3.0280561283417464e-05
1630985160,1,1326.0,52784.94142857144,52817.87,52758.01,52788.34857142856,47.018595721843205,52782.78802788238,0.0002213076677583
1630985220,1,1729.0,52787.39795171287,52829.09,52727.66,52754.70142857143,55.446910241247046,52766.07266920016,0.0004039703290931
1630985280,1,1494.0,52754.62830615714,52776.43,52716.26,52743.88000000001,55.40424361144842,52746.06781722949,0.0002715953343171
1630985340,1,1824.0,52745.73,52768.88,52689.37,52711.579970044295,61.59421473405686,52732.14025845198,0.0001419503247964
1630985400,1,1478.0,52712.305714285714,52763.43,52689.37,52729.17571428571,60.39148818637908,52721.77643988307,0.0001639001610164
1630985460,1,1297.0,52734.31375,52774.39,52720.0,52751.16125,24.218339064877824,52740.01523909635,0.0005630095658598
1630985520,1,1090.0,52750.87833333333,52775.3,52715.26,52739.125,39.600400519323614,52744.346085204816,0.0001446177948112
1630985580,1,1177.0,52739.03866040429,52784.61,52719.87,52755.20142857143,47.13449544067142,52747.92714184336,-0.0002610348446413
1630985640,1,1445.0,52760.19285714287,52801.29,52722.5,52754.10922123143,117.35346469971029,52757.7278405729,-0.00016699252978
1630985700,1,1270.0,52752.97142857144,52774.63,52711.7,52737.38171505286,38.60282990089992,52742.07865466737,-0.0003979689086717
1630985760,1,1166.0,52725.41857142856,52747.67,52691.5,52711.222857142864,34.1656296480525,52714.46628164266,-0.0003535762557549
1630985820,1,1494.0,52708.325,52744.14,52689.2,52702.91333333334,50.6619736265521,52710.821291161934,-0.0005013756268433
1630985880,1,2369.0,52702.93857142857,52720.01,52601.81868938,52673.85571428571,100.20966816196731,52683.519625824265,-0.0002735967377986
1630985940,1,2295.0,52672.56428571429,52700.0,52644.8,52673.21331906428,77.85644170498351,52672.8752217545,-0.000120445907247
1630986000,1,1532.0,52673.28625,52701.01,52636.0,52657.29125,52.144713388677616,52668.65763373621,0.0002386255857504
1630986060,1,1416.0,52654.83613959143,52703.53,52636.0,52674.62714285714,40.54752269550343,52663.770817115306,0.0002568184325644
1630986120,1,1102.0,52678.00142857144,52720.6,52636.1,52664.32714285714,42.09441350686609,52667.76087865368,0.0002692200522848
